Configuracion,kernel,C_first,Gamma_first,Degree_first,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Tiempo
SVM_rbf_C0.5_gamma0.01_degree3,rbf,0.5,0.01,3,0.8157894736842105,NaN,0.8227848101265822,NaN,1.39
SVM_rbf_C0.5_gamma0.01_degree3,rbf,0.5,0.01,3,0.8552631578947368,NaN,0.860759493670886,NaN,1.39
SVM_rbf_C0.5_gamma0.01_degree3,rbf,0.5,0.01,3,0.8289473684210527,NaN,0.8243243243243243,NaN,1.39
SVM_rbf_C2.0_gamma0.1_degree3,rbf,2.0,0.1,3,0.8618421052631579,NaN,0.8679245283018868,NaN,0.84
SVM_rbf_C2.0_gamma0.1_degree3,rbf,2.0,0.1,3,0.9078947368421053,NaN,0.9066666666666667,NaN,0.84
SVM_rbf_C2.0_gamma0.1_degree3,rbf,2.0,0.1,3,0.8223684210526315,NaN,0.8211920529801323,NaN,0.84
SVM_rbf_C2.0_gamma0.1_degree3,rbf,2.0,0.1,3,0.881578947368421,NaN,0.881578947368421,NaN,0.84
SVM_rbf_C2.0_gamma0.1_degree3,rbf,2.0,0.1,3,0.875,NaN,0.8758169934640522,NaN,0.84
SVM_rbf_C2.0_gamma0.1_degree3,rbf,2.0,0.1,3,0.8618421052631579,NaN,0.8590604026845637,NaN,0.84
SVM_rbf_C2.0_gamma0.1_degree3,rbf,2.0,0.1,3,0.868421052631579,NaN,0.8701298701298701,NaN,0.84
SVM_rbf_C2.0_gamma0.1_degree3,rbf,2.0,0.1,3,0.875,NaN,0.8741721854304636,NaN,0.84
SVM_rbf_C2.0_gamma0.1_degree3,rbf,2.0,0.1,3,0.875,NaN,0.8805031446540881,NaN,0.84
SVM_rbf_C2.0_gamma0.1_degree3,rbf,2.0,0.1,3,0.8618421052631579,NaN,0.8627450980392157,NaN,0.84
SVM_rbf_C1.0_gamma0.2_degree3,rbf,1.0,0.2,3,0.875,NaN,0.8789808917197451,NaN,0.73
SVM_rbf_C1.0_gamma0.2_degree3,rbf,1.0,0.2,3,0.9144736842105263,NaN,0.913907284768212,NaN,0.73
SVM_rbf_C1.0_gamma0.2_degree3,rbf,1.0,0.2,3,0.8421052631578947,NaN,0.8378378378378377,NaN,0.73
SVM_rbf_C1.0_gamma0.2_degree3,rbf,1.0,0.2,3,0.881578947368421,NaN,0.8831168831168831,NaN,0.73
SVM_rbf_C1.0_gamma0.2_degree3,rbf,1.0,0.2,3,0.881578947368421,NaN,0.8831168831168831,NaN,0.73
SVM_rbf_C1.0_gamma0.2_degree3,rbf,1.0,0.2,3,0.868421052631579,NaN,0.8648648648648649,NaN,0.73
SVM_rbf_C1.0_gamma0.2_degree3,rbf,1.0,0.2,3,0.875,NaN,0.8789808917197451,NaN,0.73
SVM_rbf_C1.0_gamma0.2_degree3,rbf,1.0,0.2,3,0.9078947368421053,NaN,0.9078947368421053,NaN,0.73
SVM_rbf_C1.0_gamma0.2_degree3,rbf,1.0,0.2,3,0.881578947368421,NaN,0.8846153846153847,NaN,0.73
SVM_rbf_C1.0_gamma0.2_degree3,rbf,1.0,0.2,3,0.868421052631579,NaN,0.868421052631579,NaN,0.73
SVM_poly_C1.0_gamma0.3_degree5,poly,1.0,0.3,5,0.4342105263157895,NaN,0.44155844155844154,NaN,0.24
SVM_poly_C1.0_gamma0.3_degree5,poly,1.0,0.3,5,0.47368421052631576,NaN,0.48717948717948717,NaN,0.24
SVM_poly_C1.0_gamma0.3_degree5,poly,1.0,0.3,5,0.5460526315789473,NaN,0.5548387096774193,NaN,0.24
SVM_poly_C1.0_gamma0.3_degree5,poly,1.0,0.3,5,0.4868421052631579,NaN,0.4729729729729729,NaN,0.24
SVM_poly_C1.0_gamma0.3_degree5,poly,1.0,0.3,5,0.5,NaN,0.5,NaN,0.24
SVM_poly_C1.0_gamma0.3_degree5,poly,1.0,0.3,5,0.5,NaN,0.4722222222222222,NaN,0.24
SVM_poly_C1.0_gamma0.3_degree5,poly,1.0,0.3,5,0.40789473684210525,NaN,0.4155844155844156,NaN,0.24
SVM_poly_C1.0_gamma0.3_degree5,poly,1.0,0.3,5,0.4605263157894737,NaN,0.4605263157894737,NaN,0.24
SVM_poly_C1.0_gamma0.3_degree5,poly,1.0,0.3,5,0.46710526315789475,NaN,0.4840764331210191,NaN,0.24
SVM_poly_C1.0_gamma0.3_degree5,poly,1.0,0.3,5,0.5,NaN,0.4864864864864865,NaN,0.24
SVM_poly_C0.5_gamma0.2_degree4,poly,0.5,0.2,4,0.26973684210526316,NaN,0.2550335570469799,NaN,0.26
SVM_poly_C0.5_gamma0.2_degree4,poly,0.5,0.2,4,0.28289473684210525,NaN,0.2585034013605442,NaN,0.26
SVM_poly_C0.5_gamma0.2_degree4,poly,0.5,0.2,4,0.3092105263157895,NaN,0.3225806451612903,NaN,0.26
SVM_poly_C0.5_gamma0.2_degree4,poly,0.5,0.2,4,0.23684210526315788,NaN,0.21621621621621623,NaN,0.26
SVM_poly_C0.5_gamma0.2_degree4,poly,0.5,0.2,4,0.2236842105263158,NaN,0.24358974358974358,NaN,0.26
SVM_poly_C0.5_gamma0.2_degree4,poly,0.5,0.2,4,0.2631578947368421,NaN,0.27272727272727276,NaN,0.26
SVM_poly_C0.5_gamma0.2_degree4,poly,0.5,0.2,4,0.2565789473684211,NaN,0.2709677419354839,NaN,0.26
SVM_poly_C0.5_gamma0.2_degree4,poly,0.5,0.2,4,0.2894736842105263,NaN,0.27027027027027023,NaN,0.26
SVM_poly_C0.5_gamma0.2_degree4,poly,0.5,0.2,4,0.21710526315789475,NaN,0.2119205298013245,NaN,0.26
SVM_poly_C0.5_gamma0.2_degree4,poly,0.5,0.2,4,0.2565789473684211,NaN,0.261437908496732,NaN,0.26
SVM_sigmoid_C1.5_gamma0.3_degree3,sigmoid,1.5,0.3,3,0.8223684210526315,NaN,0.8258064516129032,NaN,0.31
SVM_sigmoid_C1.5_gamma0.3_degree3,sigmoid,1.5,0.3,3,0.868421052631579,NaN,0.8666666666666667,NaN,0.31
SVM_sigmoid_C1.5_gamma0.3_degree3,sigmoid,1.5,0.3,3,0.7763157894736842,NaN,0.7702702702702704,NaN,0.31
SVM_sigmoid_C1.5_gamma0.3_degree3,sigmoid,1.5,0.3,3,0.875,NaN,0.8724832214765101,NaN,0.31
SVM_sigmoid_C1.5_gamma0.3_degree3,sigmoid,1.5,0.3,3,0.8289473684210527,NaN,0.8219178082191781,NaN,0.31
SVM_sigmoid_C1.5_gamma0.3_degree3,sigmoid,1.5,0.3,3,0.8289473684210527,NaN,0.8243243243243243,NaN,0.31
SVM_sigmoid_C1.5_gamma0.3_degree3,sigmoid,1.5,0.3,3,0.8355263157894737,NaN,0.832214765100671,NaN,0.31
SVM_sigmoid_C1.5_gamma0.3_degree3,sigmoid,1.5,0.3,3,0.8289473684210527,NaN,0.8289473684210527,NaN,0.31
SVM_sigmoid_C1.5_gamma0.3_degree3,sigmoid,1.5,0.3,3,0.8552631578947368,NaN,0.8625,NaN,0.31
SVM_sigmoid_C1.5_gamma0.3_degree3,sigmoid,1.5,0.3,3,0.8355263157894737,NaN,0.8366013071895425,NaN,0.31
